year,county,level,a_y,r_y,n_y,p_y,l_y,ca_y,cl_y,ca_avg_y,cl_avg_y,a_yplus10,l_yplus10
2014,Rock,Misdemeanor,40,51,45,NA,NA,NA,NA,NA,NA,NA,NA
2014,Rock,Juvenile,18,18,17,NA,NA,NA,NA,NA,NA,NA,NA
2014,Roseau,Felony,43,50,142,NA,NA,NA,NA,NA,NA,NA,NA
2014,Roseau,Gross Misdemeanor,33,44,62,NA,NA,NA,NA,NA,NA,NA,NA
2014,Roseau,Misdemeanor,6,5,5,NA,NA,NA,NA,NA,NA,NA,NA
2014,Roseau,Juvenile,29,29,35,NA,NA,NA,NA,NA,NA,NA,NA
2014,Scott,Felony,450,421,1123,NA,NA,NA,NA,NA,NA,NA,NA
2014,Scott,Gross Misdemeanor,388,343,865,NA,NA,NA,NA,NA,NA,NA,NA
2014,Scott,Misdemeanor,584,403,849,NA,NA,NA,NA,NA,NA,NA,NA
2014,Scott,Juvenile,203,184,167,NA,NA,NA,NA,NA,NA,NA,NA
2014,Sherburne,Felony,176,196,555,NA,NA,NA,NA,NA,NA,NA,NA
2014,Sherburne,Gross Misdemeanor,276,344,738,NA,NA,NA,NA,NA,NA,NA,NA
2014,Sherburne,Misdemeanor,535,616,713,NA,NA,NA,NA,NA,NA,NA,NA
2014,Sherburne,Juvenile,184,216,110,NA,NA,NA,NA,NA,NA,NA,NA
2014,Sibley,Felony,38,31,106,NA,NA,NA,NA,NA,NA,NA,NA
2014,Sibley,Gross Misdemeanor,30,41,51,NA,NA,NA,NA,NA,NA,NA,NA
2014,Sibley,Misdemeanor,24,34,32,NA,NA,NA,NA,NA,NA,NA,NA
2014,Sibley,Juvenile,25,38,31,NA,NA,NA,NA,NA,NA,NA,NA
2014,St. Louis,Felony,688,709,1770,NA,NA,NA,NA,NA,NA,NA,NA
2014,St. Louis,Gross Misdemeanor,478,497,987,NA,NA,NA,NA,NA,NA,NA,NA
2014,St. Louis,Misdemeanor,409,457,580,NA,NA,NA,NA,NA,NA,NA,NA
2014,St. Louis,Juvenile,397,442,191,NA,NA,NA,NA,NA,NA,NA,NA
